Num_page;URL;Status_HTTP;Nb Retry;Nb_Products
165;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=165;200;4;4
166;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=166;200;4;4
167;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=167;200;3;4
168;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=168;200;2;4
169;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=169;200;1;4
170;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=170;200;2;4
171;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=171;200;2;4
172;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=172;200;1;4
173;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=173;200;2;4
174;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=174;200;4;4
175;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=175;200;1;4
176;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=176;200;1;4
177;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=177;200;1;4
178;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=178;200;7;4
179;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=179;200;2;4
180;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=180;200;1;4
181;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=181;200;1;4
182;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=182;200;2;4
183;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=183;200;5;4
184;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=184;200;1;4
185;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=185;200;3;4
186;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=186;200;3;4
187;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=187;200;1;4
188;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=188;200;3;4
189;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=189;200;1;4
190;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=190;200;2;4
191;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=191;200;1;4
192;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=192;200;2;4
193;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=193;200;5;4
194;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=194;200;7;4
195;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=195;200;1;4
196;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=196;200;1;4
197;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=197;200;2;4
198;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=198;200;4;4
199;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=199;200;2;4
200;https://www.etsy.com/fr/search?q=cerf-volant%20en%20tissu&page=200;200;1;4
